Name	class
Oxyprenix	beta_blocker
Penbutolol	beta_blocker
Prindolol	beta_blocker
Propanix	beta_blocker
Propatard	beta_blocker
Slopro	beta_blocker
Slow-pren	beta_blocker
Sotazide	beta_blocker
Tensomex	beta_blocker
Totamol	beta_blocker
Beta Blocker	beta_blocker
Beta-Blocker	beta_blocker
Beta-Adrenoceptor Blocker	beta_blocker
Beta Adrenoreceptor Blocker	beta_blocker
Angilol	beta_blocker
Probeta La	beta_blocker
Vasaten	beta_blocker
Betaxolol	beta_blocker
Kerlone	beta_blocker
Apsolox	beta_blocker
Paritane	beta_blocker
Practolol	beta_blocker
B-Blocker	beta_blocker
Lasipressin	beta_blocker
Spiroprop	beta_blocker
Tolerzide	beta_blocker
Totaretic	beta_blocker
Combitens	beta_blocker
Xamoterol	beta_blocker
Corwin	beta_blocker
Carteolol	beta_blocker
Esmolol	beta_blocker
Brevibloc	beta_blocker
Blocadren	beta_blocker
Cartrol	beta_blocker
Eraldin	beta_blocker
Verapamil	calcium_channel_blocker
Nicardipine	calcium_channel_blocker
Nifedipine	calcium_channel_blocker
Amlodipine	calcium_channel_blocker
Lacidipine	calcium_channel_blocker
Lercanidipine	calcium_channel_blocker
Nimodipine	calcium_channel_blocker
Diltiazem	calcium_channel_blocker
Felodipine	calcium_channel_blocker
Nisoldipine	calcium_channel_blocker
Adalat	calcium_channel_blocker
Dilzem	calcium_channel_blocker
Calchan	calcium_channel_blocker
Zanidip	calcium_channel_blocker
Cardilate	calcium_channel_blocker
Viazem	calcium_channel_blocker
Plendil	calcium_channel_blocker
Univer 	calcium_channel_blocker
Adipine	calcium_channel_blocker
Angitil	calcium_channel_blocker
Tildiem	calcium_channel_blocker
Calcicard	calcium_channel_blocker
Zemtard	calcium_channel_blocker
Cardene	calcium_channel_blocker
Slozem	calcium_channel_blocker
Coracten	calcium_channel_blocker
Securon	calcium_channel_blocker
Bi-Carzem	calcium_channel_blocker
Istin 	calcium_channel_blocker
Fortipine	calcium_channel_blocker
Cordilox	calcium_channel_blocker
Nifopress	calcium_channel_blocker
Motens	calcium_channel_blocker
Dilcardia	calcium_channel_blocker
Tensipine	calcium_channel_blocker
Angiozem	calcium_channel_blocker
Disogram	calcium_channel_blocker
Verapress	calcium_channel_blocker
Angiopine	calcium_channel_blocker
Nifedipress	calcium_channel_blocker
Zemret	calcium_channel_blocker
Vertab	calcium_channel_blocker
Valni	calcium_channel_blocker
Ethimil	calcium_channel_blocker
Retalzem	calcium_channel_blocker
Hypolar	calcium_channel_blocker
Slofedipine	calcium_channel_blocker
Prescal	calcium_channel_blocker
Cabren	calcium_channel_blocker
Nimotop	calcium_channel_blocker
Zolvera	calcium_channel_blocker
Felotens	calcium_channel_blocker
Felogen	calcium_channel_blocker
Folpik	calcium_channel_blocker
Vascalpha	calcium_channel_blocker
Parmid	calcium_channel_blocker
Vera-Til	calcium_channel_blocker
Cardioplen	calcium_channel_blocker
Amlostin	calcium_channel_blocker
Neofel	calcium_channel_blocker
Kenzem	calcium_channel_blocker
Nimodrel	calcium_channel_blocker
Neozipine	calcium_channel_blocker
Adanif	calcium_channel_blocker
Molap	calcium_channel_blocker
Nidef	calcium_channel_blocker
Horizem	calcium_channel_blocker
Zildil	calcium_channel_blocker
Coroday	calcium_channel_blocker
Optil	calcium_channel_blocker
Tenif	calcium_channel_blocker
Beta-Adalat	calcium_channel_blocker
Ranvera	calcium_channel_blocker
Tarka	calcium_channel_blocker
Syscor	calcium_channel_blocker
Triapin	calcium_channel_blocker
Exforge	calcium_channel_blocker
Sevikar	calcium_channel_blocker
Adizem	calcium_channel_blocker
Sevikar HCT	calcium_channel_blocker
Berkatens	calcium_channel_blocker
Britiazim	calcium_channel_blocker
Calanif	calcium_channel_blocker
Calazem	calcium_channel_blocker
Calcilat	calcium_channel_blocker
Felendil	calcium_channel_blocker
Geangin	calcium_channel_blocker
Genalat	calcium_channel_blocker
Keloc	calcium_channel_blocker
Kentiazem	calcium_channel_blocker
Kentipine	calcium_channel_blocker
Mibefradil	calcium_channel_blocker
Nifedotard	calcium_channel_blocker
Nifelease	calcium_channel_blocker
Nifensar	calcium_channel_blocker
Nivaten	calcium_channel_blocker
Posicor	calcium_channel_blocker
Unipine	calcium_channel_blocker
Vasad	calcium_channel_blocker
Calcium-Channel Blocker	calcium_channel_blocker
Calcium Channel Blocker	calcium_channel_blocker
Hypaneze	calcium_channel_blocker
Verpamil	calcium_channel_blocker
Metazem	calcium_channel_blocker
Calcipine	calcium_channel_blocker
Pinefeld	calcium_channel_blocker
Uard	calcium_channel_blocker
Prenylamine	calcium_channel_blocker
Synadrin	calcium_channel_blocker
Chlortalidone	thiazide_diuretic
Indapamide	thiazide_diuretic
Metolazone	thiazide_diuretic
Hygroton	thiazide_diuretic
Natrilix	thiazide_diuretic
Metenix	thiazide_diuretic
Navidrex	thiazide_diuretic
Aprinox	thiazide_diuretic
Ethibide	thiazide_diuretic
Tensaid	thiazide_diuretic
Varbim	thiazide_diuretic
Indipam	thiazide_diuretic
Rawel	thiazide_diuretic
Neo-Naclex	thiazide_diuretic
Zaroxolyn	thiazide_diuretic
Cardide	thiazide_diuretic
Alkapamid	thiazide_diuretic
Lorvacs	thiazide_diuretic
Co-amilozide	thiazide_diuretic
Co-tenidone	thiazide_diuretic
Co-zidocapt	thiazide_diuretic
Co-triamterzide	thiazide_diuretic
Capozide	thiazide_diuretic
Moducren	thiazide_diuretic
Prestim	thiazide_diuretic
Dyazide	thiazide_diuretic
Innozide	thiazide_diuretic
Triam-Co	thiazide_diuretic
Kalten	thiazide_diuretic
Cozaar-Comp	thiazide_diuretic
Accuretic	thiazide_diuretic
Acezide	thiazide_diuretic
Tenchlor	thiazide_diuretic
Moduret	thiazide_diuretic
Inderetic	thiazide_diuretic
Inderex	thiazide_diuretic
Nindaxa	thiazide_diuretic
Moduretic	thiazide_diuretic
Synuretic	thiazide_diuretic
Urizide	thiazide_diuretic
Navispare	thiazide_diuretic
Amil-Co	thiazide_diuretic
CoAprovel	thiazide_diuretic
Amilmaxco	thiazide_diuretic
Triamaxco	thiazide_diuretic
Tenben	thiazide_diuretic
Tenoret	thiazide_diuretic
Secadrex	thiazide_diuretic
Co-Betaloc	thiazide_diuretic
Zestoretic	thiazide_diuretic
Carace	thiazide_diuretic
Kalspare	thiazide_diuretic
Trasidrex	thiazide_diuretic
MicardisPlus	thiazide_diuretic
Corgaretic	thiazide_diuretic
Centyl	thiazide_diuretic
Monozide	thiazide_diuretic
Caralpha	thiazide_diuretic
Co-Diovan	thiazide_diuretic
Lisicostad	thiazide_diuretic
Mapemid	thiazide_diuretic
Actelsar	thiazide_diuretic
Tolucombi	thiazide_diuretic
Co-prenozide	thiazide_diuretic
Lisoretic	thiazide_diuretic
Atenixco	thiazide_diuretic
Coversyl Arginine Plus	thiazide_diuretic
Coversyl Plus	thiazide_diuretic
Olmetec Plus	thiazide_diuretic
Sevikar HCT	thiazide_diuretic
Cozaar Comp	thiazide_diuretic
Atenix co	thiazide_diuretic
Thiazide	thiazide_diuretic
Saluric	thiazide_diuretic
Co-Tritace	thiazide_diuretic
Cotritace	thiazide_diuretic
Aldactide	thiazide_diuretic
Bendrofluazide	thiazide_diuretic
Berkozide	thiazide_diuretic
Chlorthalidone	thiazide_diuretic
Clopamide	thiazide_diuretic
Co-Flumactone	thiazide_diuretic
Enduron	thiazide_diuretic
Esidrex	thiazide_diuretic
Hypertane	thiazide_diuretic
Neobendromax	thiazide_diuretic
Neo-Bendromax	thiazide_diuretic
Nephril	thiazide_diuretic
Sotazide	thiazide_diuretic
Viskaldix	thiazide_diuretic
Xuret	thiazide_diuretic
Diuril	thiazide_diuretic
Hydrenox	thiazide_diuretic
Natramid	thiazide_diuretic
Opumide	thiazide_diuretic
Amilco	thiazide_diuretic
Dytide	thiazide_diuretic
Triamco	thiazide_diuretic
Delvas	thiazide_diuretic
Zida-Co	thiazide_diuretic
Lopresoretic	thiazide_diuretic
Tolerzide	thiazide_diuretic
Totaretic	thiazide_diuretic
Capto-Co	thiazide_diuretic
