Code	Description
X40JX	Pineal hyperplasia, insulin-resistant diabetes mellitus and somatic abnormalities
X40JY	Congenital insulin-dependent diabetes mellitus with fatal secretory diarrhoea
X40JZ	Ballinger-Wallace syndrome
X40Jm	Diabetes mellitus arising in pregnancy
X40LD	Familial central diabetes insipidus
X50Hb	Hypohidrosis-diabetes insipidus syndrome
X789v	Epiphyseal dysplasia, multiple, with early onset diabetes mellitus
XE10Y	Central diabetes insipidus
XE1g5	Diabetes - perinatal
XSETH	Maturity onset diabetes mellitus in young
XSETI	Fibrocalculous pancreatic diabetes
XSETK	Drug-induced diabetes mellitus
XSETe	Lipoatrophic diabetes
XSETp	DM due to insulin receptor ab
Xa08W	IGDM - Infant of gestational diabetic mother
Xa08a	Small for gestation neonatal diabetes mellitus
Xa2hB	Dietary advice for gestational diabetes
Xa9FG	Postpancreatectomy diabetes mellitus
XaJUI	DM induced by non-steroid drug
XaJlL	Secondary pancreatic diabetes mellitus without complication
XaJlM	Diabetes mellitus induced by non-steroid drugs without complication
XaJlQ	Lipoatrophic diabetes mellitus without complication
XaJlR	Secondary diabetes mellitus without complication
XaMzI	Cystic fibrosis related diabetes mellitus
XaOPl	[V]Personal history of gestational diabetes mellitus
XaOPt	Maternally inherited diabetes mellitus
XaXM0	Gestational diabetes information leaflet given
XaXZB	H/O: autosomal dominant diabetes mellitus
XaXZG	H/O: secondary diabetes mellitus
XaXZU	H/O: gestational diabetes mellitus
XaYmK	Gestational diabetes mellitus annual review
XacoB	Maturity onset diabetes of the young type 5
ZV13F	[V]Personal history of gestational diabetes mellitus
